K,alpha,beta,nu,max_L,p(D|K),n_comp,new p(D|K)
2,0.001,0.05,1.5,-436.913,-436.22,2,-436.2198528
2,0.001,0.05,2,-433.717,-433.024,2,-433.0238528
2,0.001,0.05,2.5,-431.42,-430.727,2,-430.7268528
2,0.001,0.05,3,-429.603,-428.91,2,-428.9098528
2,0.001,0.05,3.5,-428.109,-427.416,2,-427.4158528
2,0.001,0.05,4,-426.859,-426.166,2,-426.1658528
2,0.001,0.05,4.5,-425.803,-425.11,2,-425.1098528
2,0.001,0.05,5,-424.91,-424.217,2,-424.2168528
2,0.001,0.05,5.5,-424.155,-423.462,2,-423.4618528
2,0.001,0.05,6,-423.521,-422.827,2,-422.8278528
2,0.001,0.05,6.5,-422.993,-422.3,2,-422.2998528
2,0.001,0.05,7,-422.562,-421.869,2,-421.8688528
2,0.001,0.05,7.5,-422.218,-421.525,2,-421.5248528
2,0.001,0.05,8,-421.953,-421.26,2,-421.2598528
2,0.001,0.05,8.5,-421.761,-421.068,2,-421.0678528
2,0.001,0.05,9,-421.637,-420.944,2,-420.9438528
2,0.001,0.05,9.5,-421.575,-420.882,2,-420.8818528
2,0.001,0.05,10,-421.573,-420.879,2,-420.8798528
2,0.001,0.05,10.5,-421.625,-420.932,2,-420.9318528
2,0.001,0.05,11,-421.729,-421.036,2,-421.0358528
2,0.001,0.1,1.5,-436.319,-435.626,2,-435.6258528
2,0.001,0.1,2,-433.127,-432.434,2,-432.4338528
2,0.001,0.1,2.5,-430.834,-430.141,2,-430.1408528
2,0.001,0.1,3,-429.02,-428.327,2,-428.3268528
2,0.001,0.1,3.5,-427.53,-426.837,2,-426.8368528
2,0.001,0.1,4,-426.284,-425.591,2,-425.5908528
2,0.001,0.1,4.5,-425.232,-424.539,2,-424.5388528
2,0.001,0.1,5,-424.343,-423.65,2,-423.6498528
2,0.001,0.1,5.5,-423.592,-422.899,2,-422.8988528
2,0.001,0.1,6,-422.961,-422.268,2,-422.2678528
2,0.001,0.1,6.5,-422.438,-421.745,2,-421.7448528
2,0.001,0.1,7,-422.011,-421.318,2,-421.3178528
2,0.001,0.1,7.5,-421.67,-420.977,2,-420.9768528
2,0.001,0.1,8,-421.409,-420.716,2,-420.7158528
2,0.001,0.1,8.5,-421.221,-420.528,2,-420.5278528
2,0.001,0.1,9,-421.101,-420.408,2,-420.4078528
2,0.001,0.1,9.5,-421.043,-420.35,2,-420.3498528
2,0.001,0.1,10,-421.044,-420.351,2,-420.3508528
2,0.001,0.1,10.5,-421.101,-420.407,2,-420.4078528
2,0.001,0.1,11,-421.208,-420.515,2,-420.5148528
2,0.001,0.15,1.5,-436.289,-435.596,2,-435.5958528
2,0.001,0.15,2,-433.101,-432.408,2,-432.4078528
2,0.001,0.15,2.5,-430.812,-430.119,2,-430.1188528
2,0.001,0.15,3,-429.002,-428.309,2,-428.3088528
2,0.001,0.15,3.5,-427.516,-426.823,2,-426.8228528
2,0.001,0.15,4,-426.273,-425.58,2,-425.5798528
2,0.001,0.15,4.5,-425.226,-424.532,2,-424.5328528
2,0.001,0.15,5,-424.34,-423.647,2,-423.6468528
2,0.001,0.15,5.5,-423.592,-422.899,2,-422.8988528
2,0.001,0.15,6,-422.966,-422.273,2,-422.2728528
2,0.001,0.15,6.5,-422.446,-421.753,2,-421.7528528
2,0.001,0.15,7,-422.023,-421.33,2,-421.3298528
2,0.001,0.15,7.5,-421.686,-420.993,2,-420.9928528
2,0.001,0.15,8,-421.429,-420.736,2,-420.7358528
2,0.001,0.15,8.5,-421.245,-420.552,2,-420.5518528
2,0.001,0.15,9,-421.128,-420.435,2,-420.4348528
2,0.001,0.15,9.5,-421.075,-420.382,2,-420.3818528
2,0.001,0.15,10,-421.08,-420.386,2,-420.3868528
2,0.001,0.15,10.5,-421.14,-420.446,2,-420.4468528
2,0.001,0.15,11,-421.251,-420.558,2,-420.5578528
2,0.001,0.2,1.5,-436.484,-435.791,2,-435.7908528
2,0.001,0.2,2,-433.3,-432.607,2,-432.6068528
2,0.001,0.2,2.5,-431.014,-430.321,2,-430.3208528
2,0.001,0.2,3,-429.208,-428.515,2,-428.5148528
2,0.001,0.2,3.5,-427.726,-427.033,2,-427.0328528
2,0.001,0.2,4,-426.487,-425.794,2,-425.7938528
2,0.001,0.2,4.5,-425.443,-424.75,2,-424.7498528
2,0.001,0.2,5,-424.561,-423.868,2,-423.8678528
2,0.001,0.2,5.5,-423.818,-423.125,2,-423.1248528
2,0.001,0.2,6,-423.195,-422.502,2,-422.5018528
2,0.001,0.2,6.5,-422.679,-421.986,2,-421.9858528
2,0.001,0.2,7,-422.26,-421.566,2,-421.5668528
2,0.001,0.2,7.5,-421.927,-421.234,2,-421.2338528
